isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google
9782070411665,Ombres Rouges,Robert,Littell,04/12/1999,448,https://www.google.fr/books/edition/_/4afdPAAACAAJ?hl=fr,https://www.google.com/search?q=9782070411665
9782070413874,Les enfants d'Abraham,R.,Littell,25/04/2000,324,https://www.google.fr/books/edition/_/U1tFMgAACAAJ?hl=fr,https://www.google.com/search?q=9782070413874
9782917559192,Philby - Portrait de l'espion en jeune homme,Robert,Littell,04/11/2011,326,https://www.google.fr/books/edition/_/vnSAtgAACAAJ?hl=fr,https://www.google.com/search?q=9782917559192
9782070351404,Tours et détours de la vilaine fille,Mario,Llosa,06/03/2008,432,https://www.google.fr/books/edition/_/oYSBMwAACAAJ?hl=fr,https://www.google.com/search?q=9782070351404
9782743611941,Pensées secrètes,David,Lodge,02/01/2004,464,https://www.google.fr/books/edition/_/BmBYGQAACAAJ?hl=fr,https://www.google.com/search?q=9782743611941
9782070793983,Martin Eden,Jack,London,13/10/2016,592,https://www.google.fr/books/edition/_/T3xCvgAACAAJ?hl=fr,https://www.google.com/search?q=9782070793983
9782020207041,La liberté naturelle de l'esprit,Longchenpa,Longchenpa,09/02/1994,400,https://www.google.fr/books/edition/_/wluunAEACAAJ?hl=fr,https://www.google.com/search?q=9782020207041
9782234069466,L' homme vertical,Davide,Longo,16/01/2013,424,https://www.google.fr/books/edition/_/U0I1lgEACAAJ?hl=fr,https://www.google.com/search?q=9782234069466
9782260007579,Les Derniers jours de Pékin,Pierre,Loti,01/06/1991,324,https://www.google.fr/books/edition/_/GIihQAAACAAJ?hl=fr,https://www.google.com/search?q=9782260007579
9782850363009,Dictionnaire des rimes et assonances,Armel,Louis,01/10/1997,697,https://www.google.fr/books/edition/_/9LI9GgAACAAJ?hl=fr,https://www.google.com/search?q=9782850363009
9782862602714,"Autrement, hors-série, no. 34, octobre 1988",Anne,Lozonczy,25/04/2000,224,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782862602714
9782262018443,Histoire du Maroc,BERNARD,LUGAN,08/08/2001,384,https://www.google.fr/books/edition/_/OooOywEACAAJ?hl=fr,https://www.google.com/search?q=9782262018443
9782253051206,Samarcande,Amin,Maalouf,01/01/1989,376,https://www.google.fr/books/edition/_/isJcAAAAMAAJ?hl=fr,https://www.google.com/search?q=9782253051206
9782080703170,Le prince,Machiavel,Machiavel,30/11/1993,220,https://www.google.fr/books/edition/_/ae9FAAAACAAJ?hl=fr,https://www.google.com/search?q=9782080703170
9782070750337,Microcosmes,Claudio,Magris,03/11/1998,288,https://www.google.fr/books/edition/_/T8vAPQAACAAJ?hl=fr,https://www.google.com/search?q=9782070750337
9782804009625,Les Mots et les images,René,Magritte,15/04/2000,,https://www.google.fr/books/edition/_/6yhpQgAACAAJ?hl=fr,https://www.google.com/search?q=9782804009625
9782253050919,Impasse des deux palais,Naguib,Mahfouz,01/10/1989,,https://www.google.fr/books/edition/_/bdMB0QEACAAJ?hl=fr,https://www.google.com/search?q=9782253050919
9782070423842,Le Combat du siècle,Norman,Mailer,12/06/2002,322,https://www.google.fr/books/edition/_/hjsfPQAACAAJ?hl=fr,https://www.google.com/search?q=9782070423842
9782207255124,Pourquoi sommes-nous en guerre ?,Norman,Mailer,,,https://www.google.fr/books/edition/_/P24LGwAACAAJ?hl=fr,https://www.google.com/search?q=9782207255124
9782259187909,L'evangile selon le fils (French Edition),Norman,Mailer,26/03/1998,228,https://www.google.fr/books/edition/_/oQJjGwAACAAJ?hl=fr,https://www.google.com/search?q=9782259187909
9782228883641,"La voie cruelle : deux femmes, une Ford vers l'Afghanistan",Ella,Maillart,03/05/1991,371,https://www.google.fr/books/edition/_/MVlnAQAACAAJ?hl=fr,https://www.google.com/search?q=9782228883641
9782228887458,Oasis interdites,Ella,Maillart,04/01/1994,241,https://www.google.fr/books/edition/_/NyxPAgAACAAJ?hl=fr,https://www.google.com/search?q=9782228887458
9782228889339,Croisières et caravanes,Ella,Maillart,02/06/1995,312,https://www.google.fr/books/edition/_/BpSnPQAACAAJ?hl=fr,https://www.google.com/search?q=9782228889339
9782228891011,Parmi la jeunesse russe,Ella,Maillart,07/05/1997,209,https://www.google.fr/books/edition/_/2O_7AQAACAAJ?hl=fr,https://www.google.com/search?q=9782228891011
9782228894401,Des monts célestes aux sables rouges,Ella,Maillart,19/03/2003,358,https://www.google.fr/books/edition/_/cidvLAAACAAJ?hl=fr,https://www.google.com/search?q=9782228894401
9782070365029,La peau,Curzi,Malaparte,01/12/1973,,https://www.google.fr/books/edition/_/5nP_HAAACAAJ?hl=fr,https://www.google.com/search?q=9782070365029
9782246139829,Technique du coup d'Etat,Curzio,Malaparte,01/09/1992,228,https://www.google.fr/books/edition/_/hYs2GwAACAAJ?hl=fr,https://www.google.com/search?q=9782246139829
9782842057381,L'allée des baleines,Jean,Malaurie,03/09/2003,128,https://www.google.fr/books/edition/_/X4X2HAAACAAJ?hl=fr,https://www.google.com/search?q=9782842057381
9782859408060,Un vénitien chez les Moghols,Niccolo,Manucci,27/03/2002,288,https://www.google.fr/books/edition/_/KremGQAACAAJ?hl=fr,https://www.google.com/search?q=9782859408060
9782080706744,Les élégies de Duino,Rilke,Maria,,,https://www.google.fr/books/edition/_/jy-_PQAACAAJ?hl=fr,https://www.google.com/search?q=9782080706744
9782020591065,Lettre ouverte aux gourous de l'économie qui nous prennent pour des imbéciles,Bernard,Maris,19/11/2003,144,https://www.google.fr/books/edition/_/bZd7AAAACAAJ?hl=fr,https://www.google.com/search?q=9782020591065
9782749500782,Antimanuel d'économie,Bernard,Maris,27/02/2015,359,https://www.google.fr/books/edition/_/NCmbW6e-R70C?hl=fr,https://www.google.com/search?q=9782749500782
9782253060543,L'amour aux temps du choléra,Gabriel,Marquez,,479,https://www.google.fr/books/edition/_/CW_MHwAACAAJ?hl=fr,https://www.google.com/search?q=9782253060543
9782246267423,Chronique d'une mort annoncée,Gabriel,Márquez,17/03/1993,200,https://www.google.fr/books/edition/_/_PSLHAAACAAJ?hl=fr,https://www.google.com/search?q=9782246267423
9782226039897,Je sais cuisiner : plus de 2000 recettes...,Ginette,Mathiot,01/01/1999,761,https://www.google.fr/books/edition/_/MijAAAAACAAJ?hl=fr,https://www.google.com/search?q=9782226039897
9782266199858,Pierre et Jean,Guy,Maupassant,15/10/2009,320,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782266199858
9782035881915,Contes de la bécasse,Guy,Maupassant,18/09/2003,270,https://www.google.fr/books/edition/_/o6zkGwAACAAJ?hl=fr,https://www.google.com/search?q=9782035881915
9782253004219,Thérèse Desqueyroux,François,Mauriac,,190,https://www.google.fr/books/edition/_/4cj00QEACAAJ?hl=fr,https://www.google.com/search?q=9782253004219
9782070535095,Arts premiers,Marie,Mauzé,13/04/2000,160,https://www.google.fr/books/edition/_/RpxKPQAACAAJ?hl=fr,https://www.google.com/search?q=9782070535095
9782330034597,Le bourreau de Gaudí,Aro,Maza,03/09/2014,664,https://www.google.fr/books/edition/_/2ivXoQEACAAJ?hl=fr,https://www.google.com/search?q=9782330034597
9782879295916,La route,Cormac,McCarthy,03/01/2008,244,https://www.google.fr/books/edition/_/Cj3RKgAACAAJ?hl=fr,https://www.google.com/search?q=9782879295916
9782070372164,Moby dick t1,Herman,Melville,03/09/1980,,https://www.google.fr/books/edition/_/kT3ixQEACAAJ?hl=fr,https://www.google.com/search?q=9782070372164
9782070372171,Moby Dick,Herman,Melville,01/09/1980,,https://www.google.fr/books/edition/_/ZRqoswEACAAJ?hl=fr,https://www.google.com/search?q=9782070372171
9782070322909,L'oeil et l'esprit,Maurice,Merleau-Ponty,11/04/1985,92,https://www.google.fr/books/edition/_/Q3AxAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782070322909
9782070706228,Un barbare en Asie,Henri,Michaux,03/02/1986,238,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782070706228
9782070404520,Pèlerinage aux trois montagnes,Yukio,Mishima,05/06/1998,320,https://www.google.fr/books/edition/_/jTRrGQAACAAJ?hl=fr,https://www.google.com/search?q=9782070404520
9782070368358,La ronde de nuit,Patrick,Modiano,26/11/1976,152,https://www.google.fr/books/edition/_/PwpsQgAACAAJ?hl=fr,https://www.google.com/search?q=9782070368358
9782070373581,Rue des boutiques obscures,Patrick,Modiano,04/03/1982,256,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782070373581
9782070376292,Une jeunesse,Patrick,Modiano,13/03/1985,182,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782070376292
9782070773336,Un pedigree,Patrick,Modiano,06/01/2005,128,https://www.google.fr/books/edition/_/mCKJQgAACAAJ?hl=fr,https://www.google.com/search?q=9782070773336
9782738113948,Le nouveau Musée de l'homme,Jean-Pierre,Mohen,02/02/2004,266,https://www.google.fr/books/edition/_/oF-Fv77QGZsC?hl=fr,https://www.google.com/search?q=9782738113948
9782253037804,Le bourgeois gentilhomme,Molière,Molière,,,https://www.google.fr/books/edition/_/7zWdQgAACAAJ?hl=fr,https://www.google.com/search?q=9782253037804
9782266082150,Les carnets,Cyrille,Monod,04/03/1999,318,https://www.google.fr/books/edition/_/U_umPQAACAAJ?hl=fr,https://www.google.com/search?q=9782266082150
9782757844489,Le hasard et la nécessité : essai sur la philosophie naturelle de la biologie moderne,Jacques,Monod,04/10/2014,,https://www.google.fr/books/edition/_/KfRIjwEACAAJ?hl=fr,https://www.google.com/search?q=9782757844489
9782264014573,Hors jeu,Manuel,Montalbán,01/06/1992,,https://www.google.fr/books/edition/_/JuHkHAAACAAJ?hl=fr,https://www.google.com/search?q=9782264014573
9782757803554,Milenio,Manuel,Montalbán,04/03/2007,803,https://www.google.fr/books/edition/_/I3bcGAAACAAJ?hl=fr,https://www.google.com/search?q=9782757803554
9782757806937,Les Oiseaux de Bangkok,Manuel,Montalbán,11/06/2009,396,https://www.google.fr/books/edition/_/JdZgPwAACAAJ?hl=fr,https://www.google.com/search?q=9782757806937
9782080704986,New York,Paul,Morand,07/01/1993,224,https://www.google.fr/books/edition/_/xsVuAAAAMAAJ?hl=fr,https://www.google.com/search?q=9782080704986
9782246189725,Bouddha vivant,Paul,Morand,20/01/1988,252,https://www.google.fr/books/edition/_/hlyFQAAACAAJ?hl=fr,https://www.google.com/search?q=9782246189725
9782080704603,L'Utopie,Thomas,More,01/01/1987,248,https://www.google.fr/books/edition/_/gk5RygEACAAJ?hl=fr,https://www.google.com/search?q=9782080704603
9782862607825,"La Corée : chamanes, montagnes et gratte-ciel",Juliette,Morillot,18/02/1998,284,https://www.google.fr/books/edition/_/KIvKPQAACAAJ?hl=fr,https://www.google.com/search?q=9782862607825
9782020044882,L'Homme et la mort,Edgar,Morin,01/01/1976,372,https://www.google.fr/books/edition/_/mh9BngEACAAJ?hl=fr,https://www.google.com/search?q=9782020044882
9782020053433,"Le Paradigme perdu, la nature humaine",Edgar,Morin,01/11/1979,256,https://www.google.fr/books/edition/_/YagKAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782020053433
9782264047960,Beloved,Toni,MORRISON,22/05/2008,379,https://www.google.fr/books/edition/_/IyeVPwAACAAJ?hl=fr,https://www.google.com/search?q=9782264047960
9782228889070,Voyages en Alaska,John,Muir,14/03/1995,362,https://www.google.fr/books/edition/_/OtKhPAAACAAJ?hl=fr,https://www.google.com/search?q=9782228889070
9782877305068,Lignes,Ryû,Murakami,26/08/2000,238,https://www.google.fr/books/edition/_/H4m0AQAACAAJ?hl=fr,https://www.google.com/search?q=9782877305068
9782253180036,On ne badine pas avec l'amour : proverbe,Alfred,Musset,19/01/2000,185,https://www.google.fr/books/edition/_/y_c5PgAACAAJ?hl=fr,https://www.google.com/search?q=9782253180036
