isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google,cover
9782266082150,Les carnets,Cyrille,Monod,04/03/1999,318,https://www.google.fr/books/edition/_/U_umPQAACAAJ?hl=fr,https://www.google.com/search?q=9782266082150,https://inventaire.io/img/entities/50dd6718cf06383112b8bd156ee464567d4f653f
9782757844489,Le hasard et la nécessité : essai sur la philosophie naturelle de la biologie moderne,Jacques,Monod,04/10/2014,,https://www.google.fr/books/edition/_/KfRIjwEACAAJ?hl=fr,https://www.google.com/search?q=9782757844489,https://inventaire.io/img/entities/831efd7cec16feb7fd372100f31f4fed405a1f56
9782264014573,Hors jeu,Manuel,Montalbán,01/06/1992,,https://www.google.fr/books/edition/_/JuHkHAAACAAJ?hl=fr,https://www.google.com/search?q=9782264014573,https://inventaire.io/img/entities/04ee73d45bd81a99cfdcbbe91ba8da681ec89f93
9782757803554,Milenio,Manuel,Montalbán,04/03/2007,803,https://www.google.fr/books/edition/_/I3bcGAAACAAJ?hl=fr,https://www.google.com/search?q=9782757803554,https://inventaire.io/img/entities/8ee6a6cf0745e130964d1fa95490a44dce97ac1f
9782757806937,Les Oiseaux de Bangkok,Manuel,Montalbán,11/06/2009,396,https://www.google.fr/books/edition/_/JdZgPwAACAAJ?hl=fr,https://www.google.com/search?q=9782757806937,https://inventaire.io/img/entities/d6c9b587999a9f9e2816250aededfd127eb3a276
9782080704986,New York,Paul,Morand,07/01/1993,224,https://www.google.fr/books/edition/_/xsVuAAAAMAAJ?hl=fr,https://www.google.com/search?q=9782080704986,https://inventaire.io/img/entities/e88f9d75205ae4336599eaad2dab3c42d9f527cf
9782246189725,Bouddha vivant,Paul,Morand,20/01/1988,252,https://www.google.fr/books/edition/_/hlyFQAAACAAJ?hl=fr,https://www.google.com/search?q=9782246189725,https://inventaire.io/img/entities/3c206597179f19123176eda51b55fd516a6b966b
9782080704603,L'Utopie,Thomas,More,01/01/1987,248,https://www.google.fr/books/edition/_/gk5RygEACAAJ?hl=fr,https://www.google.com/search?q=9782080704603,https://inventaire.io/img/entities/381476d9b3bdb8587a1d7245ed7e1009637f9ec6
9782862607825,"La Corée : chamanes, montagnes et gratte-ciel",Juliette,Morillot,18/02/1998,284,https://www.google.fr/books/edition/_/KIvKPQAACAAJ?hl=fr,https://www.google.com/search?q=9782862607825,https://inventaire.io/img/entities/2d0f7b3276d6768e509b4600d0d26f9777efeff0
9782020044882,L'Homme et la mort,Edgar,Morin,01/01/1976,372,https://www.google.fr/books/edition/_/mh9BngEACAAJ?hl=fr,https://www.google.com/search?q=9782020044882,https://inventaire.io/img/entities/8e9e2eeb0844155304d330f6cd40968b3e1b12d4
9782020053433,"Le Paradigme perdu, la nature humaine",Edgar,Morin,01/11/1979,256,https://www.google.fr/books/edition/_/YagKAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782020053433,https://inventaire.io/img/entities/0e17a24ac18ed036313edc3451dca0bbd0397a30
9782264047960,Beloved,Toni,MORRISON,22/05/2008,379,https://www.google.fr/books/edition/_/IyeVPwAACAAJ?hl=fr,https://www.google.com/search?q=9782264047960,https://inventaire.io/img/entities/d36670e1e10875e72108c685102fb2723a4b19f5
9782228889070,Voyages en Alaska,John,Muir,14/03/1995,362,https://www.google.fr/books/edition/_/OtKhPAAACAAJ?hl=fr,https://www.google.com/search?q=9782228889070,https://inventaire.io/img/entities/e9d6a48766ea02a47b5305a9af1747ccb24a3def
9782877305068,Lignes,Ryû,Murakami,26/08/2000,238,https://www.google.fr/books/edition/_/H4m0AQAACAAJ?hl=fr,https://www.google.com/search?q=9782877305068,https://inventaire.io/img/entities/8a7e9a0d0c401f6852a920a59bf7ce02b711710f
